sku,platform,url,error,timestamp
EDS-150,flipkart,https://www.flipkart.com/trunativ-everyday-sweet-monkfruit-sweetener-1-1-natural-sugar-replacer-diabetic-friendly/p/itm3435f7f5dd56a?pid=ARSGJPVFDEWSMMGJ,Price not found,2026-05-16 06:10:34
EDF-200,amazon,https://www.amazon.in/dp/B0C1ZG97MN,Price not found,2026-05-16 06:10:34
EDF-500,amazon,https://www.amazon.in/dp/B0D4DRYQ46,Price not found,2026-05-16 06:10:34
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-05-16 06:10:34
EDF-400,amazon,https://www.amazon.in/dp/B0CH8864W4,Price not found,2026-05-16 06:10:34
EDS-150,amazon,https://www.amazon.in/dp/B0BHHHRZMW,Price not found,2026-05-17 06:33:51
EDS-400,amazon,https://www.amazon.in/dp/B0BGH5R1F9,Price not found,2026-05-17 06:33:51
EDF-600,amazon,https://www.amazon.in/dp/B0D4DNQTJR,Price not found,2026-05-17 06:33:51
EDF-400,amazon,https://www.amazon.in/dp/B0CH8864W4,Price not found,2026-05-17 06:33:51
EDF-300,amazon,https://www.amazon.in/dp/B0CDCGZFKY,Price not found,2026-05-17 06:33:51
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-05-17 06:33:51
EDS-S-960,amazon,https://www.amazon.in/dp/B0DK5RYBNW,Price not found,2026-05-17 06:33:51
EDF-200,amazon,https://www.amazon.in/dp/B0C1ZG97MN,Price not found,2026-05-17 06:33:51
EDF-500,amazon,https://www.amazon.in/dp/B0D4DRYQ46,Price not found,2026-05-17 06:33:51
EDS-800,amazon,https://www.amazon.in/dp/B0CD7ZBHJJ,Price not found,2026-05-17 06:33:51
EDS-S-480,amazon,https://www.amazon.in/dp/B0DK5R5L45,Price not found,2026-05-17 06:33:51
EDS-150,flipkart,https://www.flipkart.com/trunativ-everyday-sweet-monkfruit-sweetener-1-1-natural-sugar-replacer-diabetic-friendly/p/itm3435f7f5dd56a?pid=ARSGJPVFDEWSMMGJ,Price not found,2026-05-17 06:33:51
EDS-S-240,amazon,https://www.amazon.in/dp/B0CZP9RQ9X,Price not found,2026-05-17 06:33:51
EDF-300,amazon,https://www.amazon.in/dp/B0CDCGZFKY,Price not found,2026-05-18 07:09:29
EDF-500,amazon,https://www.amazon.in/dp/B0D4DRYQ46,Price not found,2026-05-18 07:09:29
EDF-100,amazon,https://www.amazon.in/dp/B0B59MRG9M,Price not found,2026-05-18 07:09:29
EDS-150,flipkart,https://www.flipkart.com/trunativ-everyday-sweet-monkfruit-sweetener-1-1-natural-sugar-replacer-diabetic-friendly/p/itm3435f7f5dd56a?pid=ARSGJPVFDEWSMMGJ,Price not found,2026-05-18 07:09:29
EDF-400,amazon,https://www.amazon.in/dp/B0CH8864W4,Price not found,2026-05-18 07:09:29
